name,model,tree_length
26108,FLU+F,0.390
6785,Poisson+F+G,0.365
7894,FLU+F,0.223
43085,Poisson+F+G,2.866
504,JTT+F,4.622
33009,LG+F,1.710
13028,LG+F+G,1.149
6891,Poisson+F,0.712
27859,JTT+F+G,1.024
2494,WAG+F,0.376
5988,FLU+F+G,0.236
7555,JTT+F+G,1.692
12234,LG+F+G,0.456
7585,WAG+F+G,0.098
3106,LG+F,1.935
35220,WAG+F+G,2.353
6661,LG+F+G,3.611
9311,LG+F,0.902
2321,FLU+F+G,1.181
28906,WAG+F,0.178
9592,FLU+F,1.457
13224,JTT+F,0.029
6465,Poisson+F+G,0.325
12860,WAG+F,1.214
27728,Poisson+F,0.302
5891,FLU+F,4.717
12461,JTT+F+G,0.844
9579,WAG+F,1.532
3953,Poisson+F+G,0.596
13059,LG+F,1.834
9938,FLU+F+G,1.985
3533,FLU+F+G,1.353
2297,Poisson+F,0.659
15138,JTT+F+G,0.649
12842,FLU+F,2.318
16037,LG+F+G,0.727
537,JTT+F+G,0.547
32640,JTT+F,3.272
5678,FLU+F+G,3.828
44883,JTT+F+G,0.313
4714,JTT+F,0.533
5858,FLU+F,3.305
1384,FLU+F+G,0.069
13273,JTT+F+G,0.174
9382,WAG+F+G,1.474
10047,Poisson+F,0.931
22117,JTT+F+G,0.896
10786,JTT+F+G,0.060
12203,Poisson+F,0.304
10756,WAG+F+G,2.299
2671,FLU+F+G,8.011
3361,LG+F+G,0.007
9932,Poisson+F,0.160
7546,FLU+F,0.964
23031,FLU+F,0.344
9399,Poisson+F,1.129
31836,FLU+F+G,2.521
10054,WAG+F,0.085
26939,FLU+F,0.661
5069,LG+F,3.637
9862,Poisson+F,0.300
6937,WAG+F+G,1.742
2946,WAG+F,0.706
12353,Poisson+F,0.546
